# energy grid [eV]     JDOS [1/eV]
# Co_t2g  Co_eg
                  10.242070117                   0.000915679
                  10.267111853                   0.000883251
                  10.292153589                   0.000848634
                  10.317195326                   0.000808482
                  10.342237062                   0.000760238
                  10.367278798                   0.000702705
                  10.392320534                   0.000636282
                  10.417362270                   0.000562855
                  10.442404007                   0.000485415
                  10.467445743                   0.000407501
                  10.492487479                   0.000332625
                  10.517529215                   0.000263780
                  10.542570952                   0.000203112
                  10.567612688                   0.000151796
                  10.592654424                   0.000110075
                  10.617696160                   0.000077434
                  10.642737896                   0.000052835
                  10.667779633                   0.000034964
                  10.692821369                   0.000022440
                  10.717863105                   0.000013967
                  10.742904841                   0.000008432
                  10.767946578                   0.000004941
                  10.792988314                   0.000002817
                  10.818030050                   0.000001573
                  10.843071786                   0.000000880
                  10.868113523                   0.000000524
                  10.893155259                   0.000000374
                  10.918196995                   0.000000357
                  10.943238731                   0.000000435
                  10.968280467                   0.000000594
                  10.993322204                   0.000000830
                  11.018363940                   0.000001143
                  11.043405676                   0.000001535
                  11.068447412                   0.000002001
                  11.093489149                   0.000002530
                  11.118530885                   0.000003100
                  11.143572621                   0.000003682
                  11.168614357                   0.000004238
                  11.193656093                   0.000004728
                  11.218697830                   0.000005111
                  11.243739566                   0.000005355
                  11.268781302                   0.000005439
                  11.293823038                   0.000005356
                  11.318864775                   0.000005114
                  11.343906511                   0.000004740
                  11.368948247                   0.000004269
                  11.393989983                   0.000003746
                  11.419031720                   0.000003220
                  11.444073456                   0.000002738
                  11.469115192                   0.000002342
                  11.494156928                   0.000002069
                  11.519198664                   0.000001948
                  11.544240401                   0.000001998
                  11.569282137                   0.000002235
                  11.594323873                   0.000002662
                  11.619365609                   0.000003274
                  11.644407346                   0.000004054
                  11.669449082                   0.000004973
                  11.694490818                   0.000005988
                  11.719532554                   0.000007043
                  11.744574290                   0.000008071
                  11.769616027                   0.000009005
                  11.794657763                   0.000009774
                  11.819699499                   0.000010320
                  11.844741235                   0.000010598
                  11.869782972                   0.000010588
                  11.894824708                   0.000010290
                  11.919866444                   0.000009727
                  11.944908180                   0.000008946
                  11.969949917                   0.000008003
                  11.994991653                   0.000006964
                  12.020033389                   0.000005894
                  12.045075125                   0.000004852
                  12.070116861                   0.000003884
                  12.095158598                   0.000003023
                  12.120200334                   0.000002287
                  12.145242070                   0.000001682
                  12.170283806                   0.000001202
                  12.195325543                   0.000000835
                  12.220367279                   0.000000563
                  12.245409015                   0.000000369
                  12.270450751                   0.000000235
                  12.295492487                   0.000000145
                  12.320534224                   0.000000087
                  12.345575960                   0.000000051
                  12.370617696                   0.000000029
                  12.395659432                   0.000000016
                  12.420701169                   0.000000008
                  12.445742905                   0.000000004
                  12.470784641                   0.000000002
                  12.495826377                   0.000000001
                  12.520868114                   0.000000000
                  12.545909850                   0.000000000
                  12.570951586                   0.000000000
                  12.595993322                   0.000000000
                  12.621035058                   0.000000000
                  12.646076795                   0.000000000
                  12.671118531                   0.000000000
                  12.696160267                   0.000000000
                  12.721202003                   0.000000000
                  12.746243740                   0.000000000
                  12.771285476                   0.000000000
                  12.796327212                   0.000000000
                  12.821368948                   0.000000000
                  12.846410684                   0.000000000
                  12.871452421                   0.000000000
                  12.896494157                   0.000000000
                  12.921535893                   0.000000000
                  12.946577629                   0.000000000
                  12.971619366                   0.000000000
                  12.996661102                   0.000000000
                  13.021702838                   0.000000000
                  13.046744574                   0.000000000
                  13.071786311                   0.000000000
                  13.096828047                   0.000000000
                  13.121869783                   0.000000000
                  13.146911519                   0.000000001
                  13.171953255                   0.000000001
                  13.196994992                   0.000000002
                  13.222036728                   0.000000004
                  13.247078464                   0.000000007
                  13.272120200                   0.000000012
                  13.297161937                   0.000000020
                  13.322203673                   0.000000034
                  13.347245409                   0.000000054
                  13.372287145                   0.000000084
                  13.397328881                   0.000000127
                  13.422370618                   0.000000187
                  13.447412354                   0.000000264
                  13.472454090                   0.000000364
                  13.497495826                   0.000000484
                  13.522537563                   0.000000626
                  13.547579299                   0.000000783
                  13.572621035                   0.000000951
                  13.597662771                   0.000001119
                  13.622704508                   0.000001278
                  13.647746244                   0.000001416
                  13.672787980                   0.000001522
                  13.697829716                   0.000001589
                  13.722871452                   0.000001614
                  13.747913189                   0.000001595
                  13.772954925                   0.000001541
                  13.797996661                   0.000001460
                  13.823038397                   0.000001366
                  13.848080134                   0.000001276
                  13.873121870                   0.000001204
                  13.898163606                   0.000001165
                  13.923205342                   0.000001172
                  13.948247078                   0.000001232
                  13.973288815                   0.000001350
                  13.998330551                   0.000001524
                  14.023372287                   0.000001750
                  14.048414023                   0.000002018
                  14.073455760                   0.000002317
                  14.098497496                   0.000002632
                  14.123539232                   0.000002946
                  14.148580968                   0.000003241
                  14.173622705                   0.000003503
                  14.198664441                   0.000003715
                  14.223706177                   0.000003863
                  14.248747913                   0.000003939
                  14.273789649                   0.000003935
                  14.298831386                   0.000003852
                  14.323873122                   0.000003692
                  14.348914858                   0.000003465
                  14.373956594                   0.000003182
                  14.398998331                   0.000002860
                  14.424040067                   0.000002517
                  14.449081803                   0.000002170
                  14.474123539                   0.000001838
                  14.499165275                   0.000001536
                  14.524207012                   0.000001278
                  14.549248748                   0.000001075
                  14.574290484                   0.000000935
                  14.599332220                   0.000000862
                  14.624373957                   0.000000860
                  14.649415693                   0.000000929
                  14.674457429                   0.000001064
                  14.699499165                   0.000001257
                  14.724540902                   0.000001497
                  14.749582638                   0.000001767
                  14.774624374                   0.000002048
                  14.799666110                   0.000002315
                  14.824707846                   0.000002546
                  14.849749583                   0.000002720
                  14.874791319                   0.000002820
                  14.899833055                   0.000002836
                  14.924874791                   0.000002765
                  14.949916528                   0.000002615
                  14.974958264                   0.000002398
                  15.000000000                   0.000002132
